所屬業管機關,業者編號,卡號,電子票證卡種,持卡身分,票種類型,票種次類型,搭乘路線代碼,搭乘路線名稱,搭乘附屬路線代碼,搭乘附屬路線名稱,搭乘公車路線方向,公車路線計費方式[0: ODFares 上下車刷卡格式; 1: ODTapOnceFares 上車刷卡格式; 2: StageFares 區間收費格式],上車站牌代碼,上車站牌名稱,上車計費站序資料,刷卡上車時間,下車站牌代碼,下車站牌名稱,下車站牌站序,刷卡下車時間,收費價格,優惠額度,轉乘代碼紀錄,優惠資訊,實際支付價格,是否包含異常值(係指上下站值為-99或上下車時間為1970-01-01 00:00:00之情況),檢核錯誤代碼[-2: 未經二階段檢核; -1: 路線資訊錯誤; 0: 驗證通過; 1: 站牌或站位資訊錯誤; 2: 業者與路線資訊不匹配; 3: 路線、站牌與業者資訊不匹配],檢核結果[0: 值域或各式檢核未通過; 1: 值域各式檢核通過但包含異常值; 2: 代碼或邏輯檢核未通過; 3: 值域格式及代碼邏輯皆通過],原始票證筆數,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
Authority,OperatorNo,ID,IDType,HolderType,TicketType,SubTicketType,RouteUID,RouteName,SubRouteUID,SubRouteName,Direction,FarePricingType,BoardingStopUID,BoardingStopName,BoardingStopSequence,BoardingTime,DeboardingStopUID,DeboardingStopName,DeboardingStopSequence,DeboardingTime,Price,Discount,TransferCode,DiscountInfo,PaymentPrice,IsAbnormal,ErrorCode,Result,TicketCount,SrcUpdateTime,UpdateTime,InfoDate
Kaohsiung,1307,6f20dd28c270f7916ad819fe90526a9d11ee53ebd751fc018b0952b8126a1191,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 12:00:00,KHH108501131452,購物廣場站,6,2024-07-31 12:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,f396a8d0112990b8bc03d0206bfdf7e34fc42c4f7979035632f5a72a7ce59cdb,icash,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 13:00:00,KHH108501148252,義大世界站,7,2024-07-31 14:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,fe1d08117658519b8002f06260a05a9c8f1eaf51d03c66c0215c5222c1e8941a,EasyCard,A,1,,KHH8505,8505,KHH8505,8505,0,0,KHH108505148261,義大世界站,1,2024-07-31 06:00:00,KHH10850586581,前鎮高中,17,2024-07-31 06:00:00,65.0,5.0,,03,60.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a37e9bcf7fd3cd0a4dea6d70734bf0f40a852f92aea4ad91b003799d65a367fd,EasyCard,C09,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 15:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 15:00:00,17.0,0.0,,,17.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a9b6c82618cb3ee0f614b68ea1dbf1368de9b13fe6252aca36b11eeff845af39,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 17:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 18:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,66856024ee93544cffee7c9ae620cf4fe7e6c15b5bb23067fc1143c68f0b0d38,iPASS,C09,4,#KHH-399,KHH8506,8506,KHH8506,8506,1,0,KHH108506115922,楠梓火車站,15,2024-07-31 08:00:00,KHH108506148252,義大世界站,21,2024-07-31 09:00:00,69.0,69.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,2049325d4e58b92ee7157b3d25748b94afd862eae614fbf9afa58cbe282a905a,iPASS,C09,4,#KHH-399,KHH8502,8502,KHH8502,8502,1,0,KHH108502131492,高雄市立美術館,1,2024-07-31 17:00:00,KHH108502150312,八德路口(大灣),20,2024-07-31 18:00:00,56.0,56.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,4f442510c21eba190e4e138c01d6748dc7605d898f3e64669b3cc83712e52bea,iPASS,B,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 10:00:00,KHH108501131452,購物廣場站,6,2024-07-31 10:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,4ef3f971e9c0ef98a689d49c042bf2365c806bae3f6a9020232d4cf408560248,iPASS,B,1,,KHH8506,8506,KHH8506,8506,0,0,KHH108506148261,義大世界站,1,2024-07-31 14:00:00,KHH108506115991,楠梓火車站,7,2024-07-31 15:00:00,43.0,0.0,,,43.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b96acb27ddfe83059eefd53e8cbcab1ab1cfc97d1c87b01d99bf1fb18464e9a5,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501148252,義大世界站,7,2024-07-31 09:00:00,37.0,37.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
