所屬業管機關,業者編號,卡號,電子票證卡種,持卡身分,票種類型,票種次類型,搭乘路線代碼,搭乘路線名稱,搭乘附屬路線代碼,搭乘附屬路線名稱,搭乘公車路線方向,公車路線計費方式[0: ODFares 上下車刷卡格式; 1: ODTapOnceFares 上車刷卡格式; 2: StageFares 區間收費格式],上車站牌代碼,上車站牌名稱,上車計費站序資料,刷卡上車時間,下車站牌代碼,下車站牌名稱,下車站牌站序,刷卡下車時間,收費價格,優惠額度,轉乘代碼紀錄,優惠資訊,實際支付價格,是否包含異常值(係指上下站值為-99或上下車時間為1970-01-01 00:00:00之情況),檢核錯誤代碼[-2: 未經二階段檢核; -1: 路線資訊錯誤; 0: 驗證通過; 1: 站牌或站位資訊錯誤; 2: 業者與路線資訊不匹配; 3: 路線、站牌與業者資訊不匹配],檢核結果[0: 值域或各式檢核未通過; 1: 值域各式檢核通過但包含異常值; 2: 代碼或邏輯檢核未通過; 3: 值域格式及代碼邏輯皆通過],原始票證筆數,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
Authority,OperatorNo,ID,IDType,HolderType,TicketType,SubTicketType,RouteUID,RouteName,SubRouteUID,SubRouteName,Direction,FarePricingType,BoardingStopUID,BoardingStopName,BoardingStopSequence,BoardingTime,DeboardingStopUID,DeboardingStopName,DeboardingStopSequence,DeboardingTime,Price,Discount,TransferCode,DiscountInfo,PaymentPrice,IsAbnormal,ErrorCode,Result,TicketCount,SrcUpdateTime,UpdateTime,InfoDate
Kaohsiung,1307,68f5c2acceff54ecc52b72b46a1009f7e9c4cde129d9b5279ff781c4551ec2fa,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501131412,仁林路口(澄觀路二段),3,2024-07-31 09:00:00,52.0,52.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,ed357dc217978deca9ee28a7a990ce8dc4ea0a2144d0e8fd76fac5bff21e0453,EasyCard,A,1,,KHH8505,8505,KHH8505,8505,1,0,KHH1085059412,國軍高雄總醫院(捷運衛武營站),10,2024-07-31 11:00:00,KHH108505131452,購物廣場站,15,2024-07-31 12:00:00,41.0,0.0,,,41.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,447c9a0dc0f11458d19a8cae6aa417ece4d3019ccc935ffa3c5e625a63a37c13,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 14:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 14:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,c04e31dc2c795becdfc2cea96daf87f71a726db03cbc679d7ea38f3040e083c5,iPASS,C01,1,,KHH8502,8502,KHH8502,8502,1,0,KHH10850238332,鼎西里,16,2024-07-31 09:00:00,KHH108502148252,義大世界站,35,2024-07-31 10:00:00,25.0,25.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,e98b560912dcc8933eac249d101fc2cb4fae514ed146a601d4550c911b649c8b,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 12:00:00,KHH108501148252,義大世界站,7,2024-07-31 12:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,7c9afdb05f6c31c4fe7d76b698989bc5b96fc7220da76b8ccf16b309e16d76b6,iPASS,C09,4,#KHH-399,KHH8506,8506,KHH8506,8506,1,0,KHH108506115942,中山路(中正路口),17,2024-07-31 08:00:00,KHH108506148252,義大世界站,21,2024-07-31 09:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,10372fadb4887429d4e5c26c7b3b911c2b593b77b250139d5a3a4aed79b04c99,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8503,8503,KHH8503,8503,0,0,KHH108503148261,義大世界站,1,2024-07-31 17:00:00,KHH108503182131,家樂福鼎山店,8,2024-07-31 18:00:00,53.0,53.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b5eaa4980a554d7abb5f6571bc10eab8017817354fd04a850ce01ec13a93f3e9,iPASS,C01,1,,KHH8506,8506,KHH8506,8506,0,0,KHH108506115991,楠梓火車站,7,2024-07-31 17:00:00,KHH108506118181,臺鐵岡山車站(捷運岡山車站),21,2024-07-31 17:00:00,18.0,18.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,5c98a392aef2d11f96cdf6641d4c0bcb1bf53c32445dbe1600a7ca03ce239050,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 17:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 17:00:00,37.0,37.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,d4885a82a5535f8830e0a087a5abb29b32627821f5b6094e9cfebb4ba12cc5a7,iPASS,B,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 17:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 18:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a86c64a7e233bb82faf087191b163015502668bf04e810a2a6e63db3fc9ac58a,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 20:00:00,KHH108501131452,購物廣場站,6,2024-07-31 21:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,d172ae6c18791af76452cff47c8e5539d3e9c850c4a7f313802ec7742e75fe1e,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 10:00:00,KHH108501131452,購物廣場站,6,2024-07-31 10:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,56e9b09c9b194765b6d0617051809885ca56a256d6556e3a252a21b17ef85444,iPASS,A,1,,KHH96,96,KHH96,96,0,0,KHH100096148291,觀景山林站,4,2024-07-31 16:00:00,KHH100096191591,大社果菜市場,6,2024-07-31 16:00:00,12.0,0.0,,,12.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,6359d40e433ab8c1c62cdaec405dd4e1fba522e10a312e97cdd918697d141dbe,iPASS,C09,4,#KHH-399,KHH8502,8502,KHH8502,8502,0,0,KHH10850288181,仁德街口(中華路),7,2024-07-31 06:00:00,KHH10850235301,金獅湖站,19,2024-07-31 06:00:00,52.0,52.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,3d87b5b5979a24fa4df6ad7cc5f6aeec08d316fe6c3f2e7b816f17191b584dd6,EasyCard,A,1,,KHH8506,8506,KHH8506,8506,1,0,KHH108506115922,楠梓火車站,15,2024-07-31 10:00:00,KHH108506115952,購物廣場站,20,2024-07-31 10:00:00,36.0,0.0,,,36.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,51f17dda39388a703474d39087516a24196d72fa1e7491b95f67491ceac097ab,iPASS,C01,1,,KHH8506,8506,KHH8506,8506,1,0,KHH108506115912,楠梓國中,13,2024-07-31 16:00:00,KHH108506115922,楠梓火車站,15,2024-07-31 16:00:00,13.0,13.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,4d8d594edea74f0a607054f5c9d2ee759d0170a7806d8a355794085e9c9e5593,icash,A,1,,KHH5031,E03B燕巢快線,KHH5031,E03B燕巢快線,1,0,KHH105031133052,高鐵左營站,14,2024-07-31 09:00:00,KHH105031123372,義大醫院,1,2024-07-31 10:00:00,36.0,12.0,,03,24.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,831b95e7c13dc47dcacdaaa03fe1c5beea1be579820eb38093e7b4840fadb092,iPASS,C01,1,,KHH8506,8506,KHH8506,8506,1,0,KHH108506192112,勵志新城,3,2024-07-31 13:00:00,KHH108506115922,楠梓火車站,15,2024-07-31 13:00:00,16.0,16.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,d9d08db7ab1ee6db68bcb0a40862831eb5f3f73be37580e5b6fc99e044e8538a,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 08:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 08:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,18c656364e379865e88db81d3c54bf03e5012a923a9184f100071ba6cade232e,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 19:00:00,KHH108501131452,購物廣場站,6,2024-07-31 19:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,78a99a66277035e376753f4c14c2fef322a666218e2d58718512652c71389ec8,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 22:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 23:00:00,34.0,34.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,4539c07a61316d74160ae3d904325ba0ff46b79fe2aabf89d31b8ed6a16139a1,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8504,8504,KHH8504,8504,1,0,KHH108504169202,捷運鳳山國中站(郵局),3,2024-07-31 11:00:00,KHH108504131742,婦幼館,11,2024-07-31 11:00:00,26.0,26.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,804ac78fbbb04a29eb8a20ac6d046a2bb226b1ce3effba225fc5edf203f47da1,iPASS,C09,4,#KHH-399,KHH8504,8504,KHH8504,8504,1,0,KHH108504131702,鳳山轉運站(捷運大東站),5,2024-07-31 07:00:00,KHH108504131452,購物廣場站,21,2024-07-31 08:00:00,78.0,78.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,0a60cb941172c74094b749573edc1f5d01992d651866871b7606c42bb451e14c,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8503,8503,KHH8503,8503,0,0,KHH108503131461,購物廣場站,2,2024-07-31 17:00:00,KHH108503158341,民族路(明誠路口),6,2024-07-31 18:00:00,45.0,45.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,26a17406987eaee97ffa4f95525c6920abe397d5ddbd4f4f83abec66fc79912a,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 14:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 15:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,4e7230ac290c4b029732e2622bcc3125221cef7419f50734b7f4de3c1671aeb4,iPASS,C09,4,#SOU-999,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501145442,博愛三路口,2,2024-07-31 09:00:00,52.0,52.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,fb937ea0c9fe87aeaaa2f774ea7b51b721cfb19bc03a34ecd229f332d1387f06,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501148252,義大世界站,7,2024-07-31 08:00:00,37.0,37.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,889ab697bcaeec8d637d2efd50af6a4c8a26832d3978ddfcb6879fb363ccd8a6,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 18:00:00,KHH108501148252,義大世界站,7,2024-07-31 19:00:00,37.0,37.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,3f0343b93db78e3f0698491ed963a4b458a5afbcb9f0bf96b9962684b01ef220,iPASS,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 23:00:00,KHH108501131452,購物廣場站,6,2024-07-31 23:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,7f741dae628b966c53e57c201c91e9fa61b8b07a67b6329277ed69fe07c76c23,iPASS,C01,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,1,0,KHH100503133052,高鐵左營站,6,2024-07-31 10:00:00,KHH100503123372,義大醫院,1,2024-07-31 10:00:00,12.0,0.0,,,12.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,abd093c4ea228b8f06ff26378935616ab920ff373243653de7d63a391d1fbd26,PaymentID,A,1,,KHH8504,8504,KHH8504,8504,0,0,KHH108504131461,購物廣場站,2,2024-07-31 17:00:00,KHH10850492741,國軍高雄總醫院,8,2024-07-31 18:00:00,38.0,0.0,,,38.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,e3222a210a0efea8e36670ed7fdb35b35f0671da875e435410ab3ab1c0656992,iPASS,C09,4,#SOU-999,KHH5031,E03B燕巢快線,KHH5031,E03B燕巢快線,1,0,KHH105031133052,高鐵左營站,14,2024-07-31 09:00:00,KHH105031123462,樹德科技大學(校區),3,2024-07-31 10:00:00,36.0,36.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,791d830363f104fc04dd87afbb31b3bddc29764de486ffaa34cd801cbb92b8e5,EasyCard,A,1,,KHH8504,8504,KHH8504,8504,1,0,KHH108504107762,臺鐵鳳山站,7,2024-07-31 12:00:00,KHH108504148252,義大世界站,22,2024-07-31 13:00:00,50.0,0.0,,,50.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,e590496c4e6b972c608a16a2489d1f2f7871d18567ebcde0d5fd0834ac68e097,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 17:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 18:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,805aee62cf4143dc6b6c5b43a0a0a58e918d1324e61fc21b94686b64699a7a86,iPASS,C01,1,,KHH96,96,KHH96,96,0,0,KHH100096152211,翠屏路口(中山路),7,2024-07-31 12:00:00,KHH100096148311,義大醫院,11,2024-07-31 12:00:00,9.0,9.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,209037fca020b6f2fd9e1ed8b32b584c298d7830e6fcd4819da9c21505c0e4ae,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 16:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 16:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b785f93fee220c2cef99150cd30758fee6a1ceae32cd6a6144d47ab87d6aed6a,iPASS,B,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,0,0,KHH100503123401,樹德科技大學(校區),4,2024-07-31 16:00:00,KHH10050388151,高鐵左營站,1,2024-07-31 17:00:00,20.0,0.0,,,20.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,e8eb06a77c1fc2b2dd30c38ba8fb5232eab96759c147316ba1cbd0d25115a806,iPASS,C09,4,#SOU-999,KHH8505,8505,KHH8505,8505,1,0,KHH108505106792,福誠高中,2,2024-07-31 17:00:00,KHH10850582512,捷運苓雅運動園區站,11,2024-07-31 18:00:00,52.0,52.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,0489664e5b7c8eacf0d0d0a3d8d75d7e56ad016f8c6a984982e95c9ec1b01d35,iPASS,C09,4,#KHH-399,KHH8505,8505,KHH8505,8505,0,0,KHH108505148261,義大世界站,1,2024-07-31 15:00:00,KHH10850535211,捷運苓雅運動園區站,6,2024-07-31 16:00:00,68.0,68.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,5480ff67573b18751bb686de9765533816d6fa6c223e3ba54d0e4963bdd648dd,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 20:00:00,KHH108501131452,購物廣場站,6,2024-07-31 20:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,ff56cab31618d69f6b55f29184468b48f99b5626b78222c00be0878a361efb11,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 11:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 12:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,2a7140c72aefc5675b1a23ed5e7bd6e43ba1988543445a20dd90209e31953d8b,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8505,8505,KHH8505,8505,1,0,KHH108505118102,瑞隆東路口(南京路),7,2024-07-31 06:00:00,KHH108505131412,仁林路口(澄觀路二段),12,2024-07-31 07:00:00,29.0,29.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,43203c8264ed34680138bebeb18615e916d4424e129eb6deca5e1b552ce98dcd,iPASS,C01,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,0,0,KHH100503125271,義大醫院,6,2024-07-31 14:00:00,KHH10050388151,高鐵左營站,1,2024-07-31 15:00:00,12.0,0.0,,,12.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,6a46f72f72bda9da0fdcfa2541660143126afc45e6b76c2c81cc5c5cc30efaad,iPASS,C01,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,0,0,KHH100503125271,義大醫院,6,2024-07-31 11:00:00,KHH10050388151,高鐵左營站,1,2024-07-31 11:00:00,18.0,18.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,47bb43749240dfe79cab481f90cffbadc0cd1be6d05f2d75fd124dc91ae66dff,iPASS,C09,4,#KHH-399,KHH8504,8504,KHH8504,8504,1,0,KHH108504183082,鳳陽社區,1,2024-07-31 07:00:00,KHH108504107762,臺鐵鳳山站,7,2024-07-31 07:00:00,52.0,52.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,2c3ce406f2da371518528a55ac22a84db947d8c466390efbf25af3dd1c18ec77,iPASS,B,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,1,0,KHH100503133052,高鐵左營站,6,2024-07-31 19:00:00,KHH100503191972,樹德科技大學(橫山路),4,2024-07-31 19:00:00,20.0,0.0,,,20.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b0d940b98cb2090e88f16a8051b7fa7d8dcc4f38eac849be0cbeb5ec20c568d1,iPASS,C02,1,,KHH8506,8506,KHH8506,8506,1,0,KHH108506118172,臺鐵岡山車站(捷運岡山車站),1,2024-07-31 19:00:00,KHH108506115942,中山路(中正路口),17,2024-07-31 20:00:00,22.0,0.0,,,22.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,9091c044d9c3e747b7c0d9ebc72e1634e76d3ecccfe6abdd02426c931d11804b,iPASS,B,1,,KHH8504,8504,KHH8504,8504,0,0,KHH108504131461,購物廣場站,2,2024-07-31 15:00:00,KHH108504169331,捷運鳳山國中站(郵局),19,2024-07-31 16:00:00,55.0,0.0,,,55.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,6e6c118a0ed0857ea6f68088ceb6d310e17db90508d95a97165b57c30e6b7d33,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501148252,義大世界站,7,2024-07-31 09:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,45ece7843e93074ea51f8c04afa52429fe9dd8e64180c1fc368932ebcf950703,iPASS,C09,4,#KHH-399,KHH8506,8506,KHH8506,8506,1,0,KHH108506115922,楠梓火車站,15,2024-07-31 17:00:00,KHH108506115942,中山路(中正路口),17,2024-07-31 17:00:00,52.0,52.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,4388dacef52c1a2b979d7f6f1ec34973d309a0248ca8859afd09a6c25b2f4c8c,iPASS,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 17:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 18:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,e6923aee718fcd1c9c0c8d3a1313a1a9749ab67482065ec9ee047b9e7ae1de23,iPASS,C09,4,#KHH-399,KHH8505,8505,KHH8505,8505,0,0,KHH108505148261,義大世界站,1,2024-07-31 16:00:00,KHH108505107671,五甲派出所,13,2024-07-31 17:00:00,83.0,83.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,908882bfb15e04f95ea27806b37f64de43a0602bcee1f663646ab1127a83a3ff,EasyCard,B,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 15:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 16:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,328ff619e5b9d6ca5f59c1cd95d6b7be9f6bddc3e0faeb4ea0fe7db11d22f8e3,iPASS,C02,1,,KHH8505,8505,KHH8505,8505,1,0,KHH108505106782,前鎮高中,1,2024-07-31 17:00:00,KHH108505131452,購物廣場站,15,2024-07-31 18:00:00,31.0,0.0,,,31.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,d475b0871c8822a53589919ac49b54225a6611dbc415efa7396566c918a85094,icash,A,1,,KHH8503,8503,KHH8503,8503,1,0,KHH1085032022,鼎強街口,15,2024-07-31 07:00:00,KHH108503148252,義大世界站,18,2024-07-31 08:00:00,41.0,0.0,,,41.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,24eb90c23f6d45c249b4d08dc4906faa756c48fff468e77de7b7aa27f97514e6,EasyCard,C02,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 16:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 17:00:00,19.0,0.0,,,19.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,8634f5c5356819fd4c2635399feaf6a1bfcb576ad368003f035a211f08d1455a,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 06:00:00,KHH108501148252,義大世界站,7,2024-07-31 07:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a7e0fde1645118e5162ca5f76e49d6fd46b71bd0d9003b0f1e01894ac5a59518,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501131421,仁林路口(澄觀路二段),5,2024-07-31 06:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 07:00:00,26.0,0.0,,,26.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,aa9d690bf73c1320619889f43ce743eebef5a17eae9b43ed4232bbc5d2548fbf,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 20:00:00,KHH108501131452,購物廣場站,6,2024-07-31 21:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
